股票代號,日期,資金流向,MFI(%)
4564,2022-04-18,644000,61.56
4563,2022-04-18,-421000,11.20
4438,2022-04-18,-437000,40.14
4433,2022-04-18,-765000,3.60
4432,2022-04-18,-453000,15.90
4431,2022-04-18,244000,57.59
4430,2022-04-18,-185000,16.80
4426,2022-04-18,586000,50.70
4420,2022-04-18,-170000,40.05
4417,2022-04-18,-171000,14.32
4414,2022-04-18,-4681000,34.44
4413,2022-04-18,-118000,25.20
4406,2022-04-18,-684000,16.36
4440,2022-04-18,-1478000,23.25
4402,2022-04-18,39000,50.23
4306,2022-04-18,-1453000,46.36
4304,2022-04-18,-191000,18.02
4303,2022-04-18,-881000,26.26
4207,2022-04-18,-20867000,45.49
4205,2022-04-18,-457000,35.81
4198,2022-04-18,-79000,24.98
4195,2022-04-18,1032000,53.73
4194,2022-04-18,-1993000,18.78
4192,2022-04-18,499000,55.41
4190,2022-04-18,-213000,28.51
4188,2022-04-18,460000,68.32
4401,2022-04-18,-1123000,18.51
4923,2022-04-18,-1491000,42.27
4503,2022-04-18,-742000,29.32
4510,2022-04-18,414000,72.33
4562,2022-04-18,-318000,35.51
4560,2022-04-18,-84000,45.03
4558,2022-04-18,-259000,28.76
4554,2022-04-18,234000,76.69
4552,2022-04-18,-176000,39.99
4551,2022-04-18,-10718000,25.17
4550,2022-04-18,-89000,43.91
4549,2022-04-18,-741000,37.54
4546,2022-04-18,637000,61.12
4545,2022-04-18,590000,60.67
4543,2022-04-18,-213000,25.13
4506,2022-04-18,-615000,30.63
4541,2022-04-18,-1866000,42.49
4536,2022-04-18,653000,62.03
4535,2022-04-18,-108000,19.98
4534,2022-04-18,-1941000,22.08
4533,2022-04-18,258000,69.07
4532,2022-04-18,-295000,45.64
4529,2022-04-18,-283000,36.25
4528,2022-04-18,-307000,25.17
4527,2022-04-18,522000,91.32
4526,2022-04-18,-1563000,15.67
4523,2022-04-18,-79000,20.00
4513,2022-04-18,-1173000,40.24
4537,2022-04-18,-73000,43.35
4925,2022-04-18,-14321000,29.78
4927,2022-04-18,-11952000,41.52
4930,2022-04-18,-1045000,35.53
5289,2022-04-18,3851000,55.15
5288,2022-04-18,-604000,33.48
5287,2022-04-18,-211000,42.95
5285,2022-04-18,-15689000,25.46
5284,2022-04-18,-265000,12.52
5283,2022-04-18,-1042000,32.02
5278,2022-04-18,271000,57.17
5277,2022-04-18,226000,75.14
5276,2022-04-18,13000,54.76
5274,2022-04-18,39140000,71.53
5272,2022-04-18,-1122000,39.06
5291,2022-04-18,492000,72.44
5271,2022-04-18,57000,72.16
5263,2022-04-18,-2372000,24.43
5262,2022-04-18,85000,66.57
5258,2022-04-18,94000,50.26
5251,2022-04-18,3807000,63.56
5248,2022-04-18,22000,67.50
5245,2022-04-18,659000,55.40
5243,2022-04-18,-847000,45.71
5240,2022-04-18,-27000,40.04
5236,2022-04-18,2949000,59.15
5234,2022-04-18,-14553000,21.59
5233,2022-04-18,-388000,41.57
5269,2022-04-18,54260000,55.59
5230,2022-04-18,-219000,40.00
5297,2022-04-18,-62000,25.00
5301,2022-04-18,-630000,24.93
5403,2022-04-18,-656000,15.45
5398,2022-04-18,-1632000,22.74
5392,2022-04-18,-933000,29.64
5388,2022-04-18,-15697000,40.30
5386,2022-04-18,1798000,61.89
5383,2022-04-18,-897000,35.41
5371,2022-04-18,-7573000,38.51
5364,2022-04-18,0,50.07
5356,2022-04-18,-1098000,34.97
5355,2022-04-18,-12000,44.47
5351,2022-04-18,-10626000,48.95
5299,2022-04-18,-12658000,36.08
5348,2022-04-18,195000,89.84
5344,2022-04-18,26000,50.86
5340,2022-04-18,-671000,29.42
5328,2022-04-18,-779000,25.56
5324,2022-04-18,-258000,22.05
5321,2022-04-18,-34707000,40.55
5315,2022-04-18,5475000,64.59
5312,2022-04-18,-505000,27.84
5310,2022-04-18,65000,63.04
5309,2022-04-18,1640000,50.83
5306,2022-04-18,-2236000,40.59
5302,2022-04-18,-1176000,27.07
5347,2022-04-18,-63302000,37.62
5425,2022-04-18,58423000,56.31
5227,2022-04-18,-11647000,34.07
5222,2022-04-18,-2982000,40.95
4972,2022-04-18,-421000,6.68
4971,2022-04-18,-2992000,4.59
4968,2022-04-18,-24331000,47.23
4967,2022-04-18,-574000,47.12
4966,2022-04-18,-227280000,30.81
4961,2022-04-18,-80407000,28.23
4960,2022-04-18,60105000,56.69
4958,2022-04-18,-116442000,31.22
4956,2022-04-18,-951000,24.73
4953,2022-04-18,-1944000,43.27
4952,2022-04-18,-12885000,35.74
4973,2022-04-18,541000,63.52
4951,2022-04-18,-5314000,34.04
4946,2022-04-18,34000,50.20
4945,2022-04-18,-1233000,38.81
4944,2022-04-18,152000,63.89
4943,2022-04-18,-1988000,27.52
4942,2022-04-18,-409000,43.35
4939,2022-04-18,-2974000,25.83
4938,2022-04-18,30222000,57.50
4935,2022-04-18,3732000,64.33
4934,2022-04-18,1453000,54.23
4933,2022-04-18,228000,54.44
4931,2022-04-18,-29472000,43.34
4950,2022-04-18,-359000,44.54
5225,2022-04-18,-714000,29.43
4974,2022-04-18,59000,50.80
4977,2022-04-18,-236000,28.58
5220,2022-04-18,216000,75.02
5215,2022-04-18,-107000,48.68
5213,2022-04-18,-1283000,29.90
5211,2022-04-18,0,50.19
5210,2022-04-18,657000,50.46
5209,2022-04-18,79000,66.89
5206,2022-04-18,-160000,7.69
5203,2022-04-18,-1758000,33.36
5201,2022-04-18,-190000,12.65
5016,2022-04-18,-630000,27.90
5015,2022-04-18,1628000,70.74
4976,2022-04-18,-2177000,41.88
5014,2022-04-18,-25873000,38.01
5011,2022-04-18,-20549000,31.07
5009,2022-04-18,-127893000,36.07
5007,2022-04-18,629000,57.52
4999,2022-04-18,-456000,25.08
4995,2022-04-18,330000,65.18
4994,2022-04-18,-5800000,26.16
4991,2022-04-18,163000,83.36
4989,2022-04-18,378000,55.11
4987,2022-04-18,-181000,33.53
4980,2022-04-18,-410000,41.74
4979,2022-04-18,-890000,22.31
5013,2022-04-18,-150000,16.66
4186,2022-04-18,2013000,78.24
